"","SiteName","SampleName","SampleDate","RiffleDepth"
"432","08EAS2058","08EAS2058_19",2019-09-04 21:10:00,4.87204724409449
"433","09LOW0753","09LOW0753_19",2019-09-05 16:15:00,2.73129921259843
"434","07LMS026663","07LMS026663_19",2019-09-05 17:15:00,9.89173228346457
"435","09LOW0751","09LOW0751_19",2019-09-05 18:15:00,2.36220472440945
"436","07LMS103591","07LMS103591_19",2019-09-05 19:45:00,5.16732283464567
"437","09JEN1318","09JEN1318_19",2019-09-05 20:15:00,7.67716535433071
"438","08LAK3699","08LAK3699_19",2019-09-09 18:15:00,3.59251968503937
"439","09LOW0325","09LOW0325_19",2019-09-10 15:15:00,2.87893700787402
"440","BSE_21_GolfCrs","BSE_21_GolfCrs_19",2019-09-10 16:45:00,7.13582677165354
"441","09MIL0340","09MIL0340_19",2019-09-10 17:15:00,3.98622047244094
"442","08EVA3813","08EVA3813_19",2019-09-10 18:15:00,2.95275590551181
"443","09NEW2128","09NEW2128_19",2019-09-10 19:30:00,3.88779527559055
"444","08EAS2446","08EAS2446_19",2019-09-11 15:24:00,3.02657480314961
"445","08EAS2540","08EAS2540_19",2019-09-11 17:30:00,1.40607424071991
"446","09MID1744","09MID1744_19",2019-09-11 18:15:00,3.44488188976378
"447","08LAK2827","08LAK2827_19",2019-09-11 20:00:00,2.38681102362205
"448","07SFS011475","07SFS011475_19",2019-09-12 15:30:00,7.43110236220472
"449","09COV1165","09COV1165_19",2019-09-12 15:30:00,5.56102362204724
"450","07LMS093027","07LMS093027_19",2019-09-12 17:15:00,10.8267716535433
"451","07SFS011059","07SFS011059_19",2019-09-12 19:30:00,11.8110236220472
"452","08EVA3640","08EVA3640_19",2019-09-16 15:40:00,4.87204724409449
"453","08EAS2191","08EAS2191_19",2019-09-16 18:05:00,2.46062992125984
"454","08LIT2585","08LIT2585_19",2019-09-17 18:00:00,6.44685039370079
"455","08SAM2862","08SAM2862_19",2019-09-18 16:45:00,3.00196850393701
"456","08EAS2631","08EAS2631_19",2019-09-18 17:00:00,6.05314960629921
"457","08SAM3045","08SAM3045_19",2019-09-18 20:00:00,2.95275590551181
"458","08WES1037","08WES1037_19",2019-09-18 20:15:00,2.14074803149606
"459","08LAK3880","08LAK3880_19",2019-09-19 14:45:00,3.0511811023622
"460","07HAR070087","07HAR070087_19",2019-09-19 15:00:00,3.78937007874016
"461","09BLA0771","09BLA0771_19",2019-09-19 15:15:00,1.69783464566929
"462","09SOO1283","09SOO1283_19",2019-09-19 16:15:00,4.97047244094488
"463","09COV1418","09COV1418_19",2019-09-19 17:15:00,2.97736220472441
"464","07SFS009443","07SFS009443_19",2019-09-19 17:45:00,7.28346456692913
"465","09SOO1022","09SOO1022_19",2019-09-19 20:15:00,3.98622047244094
"466","08LAK3627","08LAK3627_19",2019-09-23 15:15:00,4.20767716535433
"467","08CED2433","08CED2433_19",2019-09-23 17:15:00,5.68405511811024
"468","08WES1490","08WES1490_19",2019-09-23 19:15:00,2.09153543307087
"469","09BLA0675","09BLA0675_19",2019-09-24 15:10:00,3.56791338582677
"470","09MIL0390","09MIL0390_19",2019-09-24 17:30:00,3.51870078740157
"471","08SAM0000","08SAM0000_19",2019-09-24 19:30:00,4.18307086614173
"472","09JEN1357","09JEN1357_19",2019-09-24 20:00:00,5.46259842519685
"473","07PAT228627","07PAT228627_19",2019-09-25 15:30:00,4.55216535433071
"474","08WES0629","08WES0629_19",2019-09-25 18:30:00,2.85433070866142
"475","09BLA0716","09BLA0716_19",2019-09-26 15:00:00,4.84744094488189
"476","09MID1537","09MID1537_19",2019-09-26 17:30:00,2.82972440944882
"477","09SOO1209","09SOO1209_19",2019-09-26 19:45:00,7.67716535433071
"478","VashShing","VashShin_19",2019-09-30 15:45:00,3.125
"479","09DEE2294","09DEE2294_19",2019-09-30 16:15:00,6.61909448818898
"480","VashChris","VashChris_19",2019-09-30 17:45:00,2.50984251968504
"481","28A","28A_19",2019-09-30 19:00:00,3.81397637795276
"482","09MID2426","09MID2426_19",2019-09-30 20:15:00,3.54330708661417
"483","08LIT2602","08LIT2602_19",2019-10-01 15:15:00,4.15846456692913
"484","08BEA3321","08BEA3321_19",2019-10-01 16:00:00,6.79133858267716
"485","08WES0903","08WES0903_19",2019-10-01 17:15:00,5.85629921259843
"486","08LIT2692","08LIT2692_19",2019-10-01 17:45:00,4.82283464566929
"487","08SAM1914","08SAM1914_19",2019-10-01 20:45:00,2.60826771653543
"488","07LNT075179","07LNT075179_19",2019-10-02 17:15:00,4.7244094488189
"489","09NEW2102","09NEW2102_19",2019-10-03 16:15:00,3.83858267716535
"490","08EAS2272","08EAS2272_19",2019-10-03 19:30:00,7.18503937007874
"491","09NEW2076","09NEW2076_19",2019-10-07 16:00:00,3.125
"492","08LIT2603","08LIT2603_19",2019-10-07 20:15:00,6.64370078740157
"493","08ISS4724","08ISS4724_19",2019-10-11 15:15:00,4.28149606299213
"494","08ISS3877","08ISS3877_20",2020-07-20 17:30:00,7.92322834645669
"495","08BEA3737","08BEA3737_20",2020-07-21 20:20:00,2.01771653543307
"496","09MIL0340","09MIL0340_20",2020-07-22 17:00:00,2.73129921259843
"497","09MIL0390","09MIL0390_20",2020-07-22 18:45:00,2.70669291338583
"498","09DUW0225","09DUW0225_20",2020-07-22 22:15:00,2.41141732283465
"499","09COV1165","09COV1165_20",2020-07-23 16:35:00,6.49606299212598
"500","09JEN1318","09JEN1318_20",2020-07-23 20:30:00,7.23425196850394
"501","09BLA0675","09BLA0675_20",2020-07-27 17:00:00,4.33070866141732
"502","08EAS2058","08EAS2058_20",2020-07-27 19:30:00,3.29724409448819
"503","09BLA0716","09BLA0716_20",2020-07-27 19:45:00,4.37992125984252
"504","09DUW0091","09DUW0091_20",2020-07-28 15:30:00,2.63287401574803
"505","08CED5046","08CED5046_20",2020-07-28 17:45:00,4.50295275590551
"506","08ISS4724","08ISS4724_20",2020-07-28 18:15:00,5.41338582677165
"507","09COV1756","09COV1756_20",2020-07-28 19:50:00,4.89665354330709
"508","08CED5032","08CED5032_20",2020-07-28 21:30:00,6.07775590551181
"509","08ISS4294","08ISS4294_20",2020-07-29 15:50:00,3.98622047244094
"510","07PAT231079","07PAT231079_20",2020-07-29 16:30:00,2.31299212598425
"511","09MID1374","09MID1374_20",2020-07-29 17:30:00,3.83858267716535
