"","taxon","mk.tau","mk.Sen","mk.pval","mk.inter","mk.trend","samples","sum.taxon"
"123","Hydatophylax",-0.216374269005848,0,0.124201190781715,0,"none",6,7.38035154884218
"124","Hyalella",0.263157894736842,0,0.0846183469956023,0,"none",8,8.96736731256056
"125","Holorusia.hespera",0.0701754385964912,0,0.315302452081746,0,"none",1,4.04040404040404
"126","Hirudinea",-0.233918128654971,0,0.0537045244308772,0,"none",4,6.56774010734407
"127","Hexatoma",-0.263157894736842,-0.200080032012805,0.123255277128899,410.515569864308,"none",19,139.295577848501
"128","Heteroplectron",0.204678362573099,0.0167491238919811,0.2209706965421,-32.7188451138031,"none",12,21.0605128859605
"129","Heterlimnius.corpulentus",-0.35672514619883,-0.485625485625486,0.0358050648451911,1026.57342657343,"negative",19,942.827648244792
"130","Hesperoperla.pacifica",0.497076023391813,0.674757854949209,0.00329498370452415,-1320.46994701495,"positive",19,709.85181435155
"131","Hesperoconopa",0.0760233918128655,0,0.552290509194715,0,"none",4,6.69934640522876
"132","Heptageniidae",-0.39766081871345,-0.424710424710425,0.0177979341971312,856.319176319176,"negative",14,76.0700831026834
"133","Heptagenia",-0.0116959064327485,0,0.927264473525232,0,"none",1,0.925925925925926
"134","Hemerodromiinae",0.105263157894737,0.364608653378708,0.55176390519038,-672.9865499919,"none",19,1170.93443659203
"135","Haliplus",0.0292397660818713,0,0.824051844966123,0,"none",3,4.08023112626693
"136","Haliplidae",-0.0701754385964912,0,0.315302452081746,0,"none",1,1.0752688172043
"137","Gyrinidae",0.0233918128654971,0,0.784191229401619,0,"none",1,0.961538461538462
"138","Gumaga",-0.0935672514619883,0,0.170903520230797,0,"none",1,1.38888888888889
"139","Gonomyia",-0.0175438596491228,0,0.894549147454705,0,"none",2,1.97278911564626
"140","Gomphidae",0.584795321637427,0.27027027027027,0.000517809940078143,-540.899168399169,"positive",16,55.4351639619345
"141","Goeridae",0.0760233918128655,0,0.426438439415802,0,"none",2,1.93602693602694
"142","Goeracea",0,0,1,0.925925925925926,"none",10,10.9257764138268
"143","Goera",-0.105263157894737,0,0.120690800527446,0,"none",1,1.20481927710843
"144","Gnorimosphaeroma",-0.0701754385964912,0,0.315302452081746,0,"none",1,1.0752688172043
"145","Glutops",0.187134502923977,0.150829562594269,0.277825527733481,-284.55016102075,"none",19,352.098193755045
"146","Glossosomatidae",0.532163742690059,0.492880613362541,0.00154797472541152,-987.715398045829,"positive",15,92.3892719028682
"147","Glossosoma",0.0526315789473684,0.0830497488251506,0.779566064581155,-99.2389517790601,"none",19,1289.90735415524
"148","Glossiphoniidae",-0.152046783625731,-0.00571210967250571,0.378146425774809,12.5028656711825,"none",16,25.24884243568
"149","Gastropoda",0,0,1,0,"none",1,0.892857142857143
"150","Gammarus",-0.239766081871345,0,0.0261911153439148,0,"negative",3,15.8063627057249
"151","Forcipomyiinae",0.128654970760234,0.121406371406371,0.462249946125543,-236.315073815073,"none",19,146.864332576091
"152","Farula",0.111111111111111,0,0.480514297908541,0,"none",8,8.90722253028228
"153","Erpobdella",0.228070175438596,0.0655200655200655,0.178656058469317,-130.040657540658,"none",14,32.8412755184006
"154","Erioptera",0.228070175438596,0,0.0598293222570399,0,"none",4,4.93166963755199
"155","Epiphragma",0.0584795321637427,0,0.411313791776259,0,"none",1,0.970873786407767
